;price;nroom;sqmeter;lat;long;condom;floor;tpprop;status;heating;ac;photosnum;enclass;contr;furnished;kitchen
936;7500;5;200;45.471;9.205;417;5;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Centralizzato;Autonomo;15;G;Affitto, 4+4;Not given;Cucina abitabile
937;3200;3;140;454.685;91.553;400;7;Intera proprieta, classe immobile signorile;Buono / Abitabile;Centralizzato;Assente;20;NA;Affitto, 4+4;Parzialmente arredato;Cucina abitabile
938;950;2;40;454.634;92.327;250;4;Intera proprieta, classe immobile signorile;Nuovo / In costruzione;Autonomo;Autonomo, solo freddo;20;NA;Affitto, 4+4;Parzialmente arredato;Cucina a vista
939;3550;4;175;454.726;919.272;565;1;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Centralizzato;Autonomo, freddo/caldo;11;F;Affitto, 4+4;Parzialmente arredato;Cucina abitabile
940;6250;5;250;454.633;91.831;733;0;Intera proprieta, immobile di lusso;Ottimo/Ristrutturato;Autonomo;Autonomo, freddo/caldo;7;G;Affitto;Parzialmente arredato;Cucina a vista
941;2250;4;90;454.662;91.809;137;5;Intera proprieta, classe immobile signorile;Buono / Abitabile;Centralizzato;Autonomo, solo freddo;15;D;Affitto, 4+4;Not given;cucina semi abitabile
942;1700;2;60;454.722;92.161;0;1;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Centralizzato;Autonomo, freddo/caldo;13;G;Affitto, transitorio;Arredato;cucina angolo cottura
943;2500;3;148;454.781;91.997;335;2;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Centralizzato;Centralizzato, freddo/caldo;7;D;Affitto, 4+4;Not given;Cucina abitabile
944;1700;2;45;454.792;92.146;0;3;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Centralizzato;Assente;10;F;Affitto, transitorio;Arredato;cucina angolo cottura
945;800;2;45;454.459;91.787;200;3;Intera proprieta, classe immobile media;Ottimo/Ristrutturato;Autonomo;Autonomo, solo freddo;20;G;Affitto, transitorio;Arredato;Cucina a vista
946;600;1;30;454.514;9.171;200;1;Intera proprieta, classe immobile media;Buono / Abitabile;Autonomo;Assente;20;G;Affitto, 4+4;Arredato;cucina angolo cottura
947;800;2;43;454.457;91.784;200;3;Intera proprieta, classe immobile media;Ottimo/Ristrutturato;Autonomo;Autonomo, solo freddo;20;G;Affitto, transitorio;Arredato;Cucina a vista
